id,name,localId,rarity,supertype,cm_updated,cm_unit,cm_idProduct,cm_avg,cm_low,cm_trend,cm_avg1,cm_avg7,cm_avg30,cm_avg_holo,cm_low_holo,cm_trend_holo,cm_avg1_holo,cm_avg7_holo,cm_avg30_holo,tp_updated,tp_unit,tp_normal_productId,tp_normal_lowPrice,tp_normal_midPrice,tp_normal_highPrice,tp_normal_marketPrice,tp_normal_directLowPrice,tp_reverse_holofoil_productId,tp_reverse_holofoil_lowPrice,tp_reverse_holofoil_midPrice,tp_reverse_holofoil_highPrice,tp_reverse_holofoil_marketPrice,tp_reverse_holofoil_directLowPrice,tp_holofoil_productId,tp_holofoil_lowPrice,tp_holofoil_midPrice,tp_holofoil_highPrice,tp_holofoil_marketPrice,tp_holofoil_directLowPrice
me05-001,Tropius,001,Common,,2026-08-03T08:03:05.852Z,EUR,895789,0.03,0.02,0.02,0.04,0.03,0.03,0.08,0.02,0.06,0.09,0.07,0.07,2026-08-03T08:04:27.824Z,USD,704758.0,0.01,0.15,8.07,0.07,0.04,704758.0,0.01,0.2,2.0,0.16,0.08,,,,,,
me05-002,Grubbin,002,Common,,2026-08-03T08:03:05.852Z,EUR,895790,0.03,0.02,0.02,0.04,0.03,0.03,0.07,0.02,0.07,0.12,0.08,0.08,2026-08-03T08:04:27.824Z,USD,704759.0,0.01,0.14,8.06,0.06,0.01,704759.0,0.01,0.19,1.65,0.12,0.08,,,,,,
me05-003,Fomantis,003,Common,,2026-08-03T08:03:05.852Z,EUR,895791,0.04,0.02,0.03,0.02,0.05,0.04,0.09,0.02,0.07,0.09,0.07,0.08,2026-08-03T08:04:27.824Z,USD,704760.0,0.01,0.15,8.09,0.09,0.05,704760.0,0.01,0.2,1.68,0.13,0.12,,,,,,
me05-004,Lurantis ex,004,Double rare,,2026-08-03T08:03:05.852Z,EUR,895792,0.43,0.02,0.19,0.4,0.39,0.42,,,0.0,,,,2026-08-03T08:04:27.824Z,USD,,,,,,,,,,,,,704761.0,0.1,0.54,55.0,0.51,
me05-005,Poltchageist,005,Common,,2026-08-03T08:03:05.852Z,EUR,895793,0.08,0.02,0.02,0.04,0.06,0.07,0.19,0.02,0.02,0.16,0.11,0.15,2026-08-03T08:04:27.824Z,USD,704762.0,0.01,0.15,6.99,0.12,,704762.0,0.01,0.24,3.22,0.18,,,,,,,
me05-006,Sinistcha,006,Uncommon,,2026-08-03T08:03:05.852Z,EUR,895794,0.09,0.02,0.02,0.05,0.05,0.08,0.21,0.02,0.02,0.15,0.13,0.18,2026-08-03T08:04:27.824Z,USD,704763.0,0.01,0.15,6.3,0.16,0.05,704763.0,0.01,0.25,4.99,0.23,0.23,,,,,,
me05-007,Heatran,007,Uncommon,,2026-08-03T08:03:05.852Z,EUR,895795,0.03,0.02,0.03,0.04,0.03,0.03,0.1,0.02,0.07,0.07,0.09,0.09,2026-08-03T08:04:27.824Z,USD,704764.0,0.01,0.15,8.08,0.08,0.05,704764.0,0.01,0.2,2.0,0.18,0.11,,,,,,
me05-008,Mega Delphox ex,008,Double rare,,2026-08-03T08:03:05.852Z,EUR,895796,0.78,0.09,0.22,0.6,0.58,0.69,,,0.0,,,,2026-08-03T08:04:27.824Z,USD,,,,,,,,,,,,,704765.0,0.25,0.75,19.99,0.66,
me05-009,Sizzlipede,009,Common,,2026-08-03T08:03:05.852Z,EUR,895797,0.03,0.02,0.02,0.02,0.03,0.03,0.08,0.02,0.05,0.06,0.07,0.07,2026-08-03T08:04:27.824Z,USD,704766.0,0.01,0.12,8.04,0.04,0.02,704766.0,0.01,0.2,1.65,0.18,0.06,,,,,,
me05-010,Centiskorch,010,Common,,2026-08-03T08:03:05.852Z,EUR,895798,0.03,0.02,0.02,0.02,0.03,0.03,0.07,0.02,0.06,0.11,0.07,0.07,2026-08-03T08:04:27.824Z,USD,704767.0,0.01,0.14,8.02,0.02,0.03,704767.0,0.01,0.18,1.65,0.16,0.08,,,,,,
