id,name,localId,rarity,supertype,cm_updated,cm_unit,cm_idProduct,cm_avg,cm_low,cm_trend,cm_avg1,cm_avg7,cm_avg30,cm_avg_holo,cm_low_holo,cm_trend_holo,cm_avg1_holo,cm_avg7_holo,cm_avg30_holo,tp_updated,tp_unit,tp_normal_productId,tp_normal_lowPrice,tp_normal_midPrice,tp_normal_highPrice,tp_normal_marketPrice,tp_normal_directLowPrice,tp_reverse_holofoil_productId,tp_reverse_holofoil_lowPrice,tp_reverse_holofoil_midPrice,tp_reverse_holofoil_highPrice,tp_reverse_holofoil_marketPrice,tp_reverse_holofoil_directLowPrice,tp_holofoil_productId,tp_holofoil_lowPrice,tp_holofoil_midPrice,tp_holofoil_highPrice,tp_holofoil_marketPrice,tp_holofoil_directLowPrice
me05-001,Tropius,001,Common,,2026-07-23T08:03:03.918Z,EUR,895789,0.03,0.02,0.02,0.03,0.04,0.04,0.08,0.02,0.08,0.08,0.1,0.1,2026-07-23T08:03:01.944Z,USD,704758.0,0.01,0.15,1.65,0.06,0.04,704758.0,0.01,0.16,2.0,0.13,0.11,,,,,,
me05-002,Grubbin,002,Common,,2026-07-23T08:03:03.918Z,EUR,895790,0.03,0.02,0.02,0.03,0.04,0.04,0.07,0.02,0.07,0.06,0.11,0.1,2026-07-23T08:03:01.944Z,USD,704759.0,0.01,0.12,1.65,0.05,0.01,704759.0,0.01,0.18,1.65,0.1,0.09,,,,,,
me05-003,Fomantis,003,Common,,2026-07-23T08:03:03.918Z,EUR,895791,0.04,0.02,0.05,0.03,0.04,0.04,0.09,0.02,0.09,0.1,0.13,0.13,2026-07-23T08:03:01.944Z,USD,704760.0,0.01,0.15,1.65,0.06,0.03,704760.0,0.01,0.2,25.0,0.12,0.1,,,,,,
me05-004,Lurantis ex,004,Double rare,,2026-07-23T08:03:03.918Z,EUR,895792,0.49,0.02,0.34,0.4,0.54,0.54,,,0.0,,,,2026-07-23T08:03:01.944Z,USD,,,,,,,,,,,,,704761.0,0.05,0.5,4321.0,0.43,0.44
me05-005,Poltchageist,005,Common,,2026-07-23T08:03:03.918Z,EUR,895793,0.08,0.02,0.04,0.05,0.09,0.1,0.19,0.02,0.02,0.13,0.2,0.21,2026-07-23T08:03:01.944Z,USD,704762.0,0.01,0.16,2.2,0.14,0.08,704762.0,0.01,0.25,3.22,0.26,0.41,,,,,,
me05-006,Sinistcha,006,Uncommon,,2026-07-23T08:03:03.918Z,EUR,895794,0.09,0.02,0.02,0.07,0.12,0.14,0.21,0.02,0.02,0.23,0.23,0.27,2026-07-23T08:03:01.944Z,USD,704763.0,0.01,0.15,2.2,0.16,0.1,704763.0,0.02,0.25,4.99,0.3,0.22,,,,,,
me05-007,Heatran,007,Uncommon,,2026-07-23T08:03:03.918Z,EUR,895795,0.03,0.02,0.04,0.04,0.04,0.04,0.1,0.02,0.11,0.1,0.13,0.13,2026-07-23T08:03:01.944Z,USD,704764.0,0.01,0.15,3.49,0.04,0.04,704764.0,0.02,0.2,25.0,0.13,0.12,,,,,,
me05-008,Mega Delphox ex,008,Double rare,,2026-07-23T08:03:03.918Z,EUR,895796,1.17,0.1,0.6,0.61,0.9,0.95,,,0.0,,,,2026-07-23T08:03:01.944Z,USD,,,,,,,,,,,,,704765.0,0.14,0.7,19.99,0.5,1.99
me05-009,Sizzlipede,009,Common,,2026-07-23T08:03:03.918Z,EUR,895797,0.03,0.02,0.03,0.02,0.03,0.03,0.08,0.02,0.1,0.07,0.11,0.11,2026-07-23T08:03:01.944Z,USD,704766.0,0.01,0.12,1.65,0.07,0.04,704766.0,0.01,0.15,4.0,0.11,0.06,,,,,,
me05-010,Centiskorch,010,Common,,2026-07-23T08:03:03.918Z,EUR,895798,0.03,0.02,0.03,0.03,0.03,0.03,0.07,0.02,0.06,0.1,0.1,0.1,2026-07-23T08:03:01.944Z,USD,704767.0,0.01,0.13,1.65,0.06,0.04,704767.0,0.01,0.15,1.95,0.13,0.08,,,,,,
