id,name,localId,rarity,supertype,subtypes,set,cm_updated,cm_unit,cm_idProduct,cm_avg,cm_low,cm_trend,cm_avg1,cm_avg7,cm_avg30,cm_avg_holo,cm_low_holo,cm_trend_holo,cm_avg1_holo,cm_avg7_holo,cm_avg30_holo,tp_updated,tp_unit,tp_holofoil_productId,tp_holofoil_lowPrice,tp_holofoil_midPrice,tp_holofoil_highPrice,tp_holofoil_marketPrice,tp_holofoil_directLowPrice,tp_normal_productId,tp_normal_lowPrice,tp_normal_midPrice,tp_normal_highPrice,tp_normal_marketPrice,tp_normal_directLowPrice,tp_reverse_holofoil_productId,tp_reverse_holofoil_lowPrice,tp_reverse_holofoil_midPrice,tp_reverse_holofoil_highPrice,tp_reverse_holofoil_marketPrice,tp_reverse_holofoil_directLowPrice,tp_1st_edition_productId,tp_1st_edition_lowPrice,tp_1st_edition_midPrice,tp_1st_edition_highPrice,tp_1st_edition_marketPrice,tp_1st_edition_directLowPrice,tp_unlimited_productId,tp_unlimited_lowPrice,tp_unlimited_midPrice,tp_unlimited_highPrice,tp_unlimited_marketPrice,tp_unlimited_directLowPrice
2018sm-2,Psyduck,2,None,,,McDonald's Collection 2018,2026-07-26T08:03:04.571Z,EUR,366770.0,22.49,0.9,24.74,22.0,23.37,15.03,,,1.63,0.49,1.35,1.7,2026-07-26T08:03:28.242Z,USD,180451.0,39.97,142.8,699.4,67.08,,,,,,,,,,,,,,,,,,,,,,,,,
det1-7,Psyduck,7,Common,,,Detective Pikachu,2026-07-26T08:03:04.571Z,EUR,370626.0,0.69,0.02,0.88,0.77,0.92,0.75,0.8,0.1,1.06,0.8,0.9,0.67,2026-07-26T08:03:28.735Z,USD,186010.0,0.2,1.0,9.99,0.86,0.69,,,,,,,,,,,,,,,,,,,,,,,,
mep-007,Psyduck,007,Promo,,,MEP Black Star Promos,2026-07-26T08:03:04.571Z,EUR,851053.0,7.29,0.8,9.91,4.27,9.05,7.42,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sm115-11,Psyduck,11,Common,,,Hidden Fates,2026-07-26T08:03:04.571Z,EUR,394772.0,0.11,0.02,0.15,0.09,0.14,0.11,6.05,1.0,6.36,0.39,6.34,3.97,2026-07-26T08:03:29.444Z,USD,,,,,,,197653.0,0.11,0.38,5.0,0.38,0.15,197653.0,2.7,4.0,19.98,3.82,,,,,,,,,,,,,
xy9-16,Psyduck,16,Common,,,BREAKpoint,2026-07-26T08:03:04.571Z,EUR,288191.0,0.88,0.02,1.1,1.24,1.15,0.81,21.59,0.08,17.83,0.6,15.82,9.45,2026-07-26T08:03:23.053Z,USD,,,,,,,111519.0,0.31,1.25,19.99,1.3,,111519.0,4.47,13.89,199.9,14.4,,,,,,,,,,,,,
basep-20,Psyduck,20,Common,,,Wizards Black Star Promos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
swsh7-24,Psyduck,24,Common,,,Evolving Skies,2026-07-26T08:03:04.571Z,EUR,574048.0,0.08,0.02,0.1,0.08,0.09,0.08,0.41,0.05,0.44,0.63,0.53,0.42,2026-07-26T08:03:32.507Z,USD,,,,,,,246816.0,0.04,0.3,19.86,0.3,0.19,246816.0,0.15,0.54,4321.0,0.55,,,,,,,,,,,,,
sm9-26,Psyduck,26,Common,,,Team Up,2026-07-26T08:03:04.571Z,EUR,368958.0,0.26,0.02,0.44,0.43,0.45,0.33,6.59,1.2,9.24,1.2,6.9,5.01,2026-07-26T08:03:28.595Z,USD,,,,,,,183797.0,0.41,0.99,19.98,0.95,,183797.0,12.5,18.0,39.96,17.94,19.97,,,,,,,,,,,,
sm1-28,Psyduck,28,Common,,,Sun & Moon,2026-07-26T08:03:04.571Z,EUR,295338.0,0.82,0.02,0.65,0.84,0.59,0.81,5.82,0.03,6.35,2.99,5.74,3.97,2026-07-26T08:03:26.175Z,USD,,,,,,,126899.0,0.05,0.99,20.0,0.9,,126899.0,3.45,7.62,499.94,7.4,6.38,,,,,,,,,,,,
swsh10-028,Psyduck,028,Common,,,Astral Radiance,2026-07-26T08:03:04.571Z,EUR,658533.0,0.07,0.02,0.08,0.06,0.08,0.07,0.31,0.02,0.35,0.17,0.35,0.33,2026-07-26T08:03:33.294Z,USD,,,,,,,272228.0,0.01,0.25,19.98,0.23,,272228.0,0.15,0.5,19.98,0.53,,,,,,,,,,,,,
