id,name,localId,rarity,supertype,subtypes,set,tp_updated,tp_unit,cm_updated,cm_unit,cm_idProduct,cm_avg,cm_low,cm_trend,cm_avg1,cm_avg7,cm_avg30,cm_avg_holo,cm_low_holo,cm_trend_holo,cm_avg1_holo,cm_avg7_holo,cm_avg30_holo,tp_normal_productId,tp_normal_lowPrice,tp_normal_midPrice,tp_normal_highPrice,tp_normal_marketPrice,tp_normal_directLowPrice,tp_1st_edition_productId,tp_1st_edition_lowPrice,tp_1st_edition_midPrice,tp_1st_edition_highPrice,tp_1st_edition_marketPrice,tp_1st_edition_directLowPrice,tp_unlimited_productId,tp_unlimited_lowPrice,tp_unlimited_midPrice,tp_unlimited_highPrice,tp_unlimited_marketPrice,tp_unlimited_directLowPrice,tp_reverse_holofoil_productId,tp_reverse_holofoil_lowPrice,tp_reverse_holofoil_midPrice,tp_reverse_holofoil_highPrice,tp_reverse_holofoil_marketPrice,tp_reverse_holofoil_directLowPrice,tp_holofoil_productId,tp_holofoil_lowPrice,tp_holofoil_midPrice,tp_holofoil_highPrice,tp_holofoil_marketPrice,tp_holofoil_directLowPrice
A2b-030,Kadabra,030,Two Diamond,,,Shining Revelry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
base1-32,Kadabra,32,Uncommon,,,Base Set,2026-07-26T08:03:02.081Z,USD,2026-07-26T08:03:04.571Z,EUR,273727.0,2.48,0.02,1.91,1.26,2.54,1.95,,,3.32,8.0,2.04,2.04,42374.0,0.45,1.06,9999.0,2.02,2.31,,,,,,,,,,,,,,,,,,,,,,,,
base5-39,Dark Kadabra,39,Uncommon,,,Team Rocket,2026-07-26T08:03:02.110Z,USD,2026-07-26T08:03:04.571Z,EUR,274092.0,2.43,0.05,2.16,2.17,1.79,2.55,,,0.15,0.15,0.77,0.77,,,,,,,84618.0,3.25,6.3,77.0,6.39,,84618.0,0.68,1.55,100.0,2.77,9.99,,,,,,,,,,,,
base4-46,Kadabra,46,Uncommon,,,Base Set 2,2026-07-26T08:03:02.106Z,USD,2026-07-26T08:03:04.571Z,EUR,273969.0,1.03,0.1,0.66,1.25,0.82,1.07,,,0.0,,,,42509.0,0.45,1.19,4321.0,2.12,1.0,,,,,,,,,,,,,,,,,,,,,,,,
lc-49,Kadabra,49,Uncommon,,,Legendary Collection,2026-07-26T08:03:02.167Z,USD,2026-07-26T08:03:04.571Z,EUR,274814.0,3.22,0.2,3.01,1.3,2.73,1.99,130.0,40.0,154.14,150.0,89.88,86.54,86404.0,1.42,3.87,56.13,4.75,48.81,,,,,,,,,,,,,86404.0,2021.78,2021.78,4699.0,169.24,,,,,,,
me01-055,Kadabra,055,Uncommon,,,Mega Evolution,2026-07-26T08:03:38.953Z,USD,2026-07-26T08:03:04.572Z,EUR,851126.0,0.08,0.02,0.08,0.05,0.08,0.08,0.21,0.02,0.15,0.1,0.18,0.2,654394.0,0.01,0.23,1000.0,0.22,0.2,,,,,,,,,,,,,654394.0,0.05,0.3,999.0,0.3,0.42,,,,,,
gym2-58,Sabrina's Kadabra,58,Uncommon,,,Gym Challenge,2026-07-26T08:03:02.125Z,USD,2026-07-26T08:03:04.571Z,EUR,274326.0,4.76,0.49,1.42,4.95,3.51,8.35,,,24.0,24.0,13.25,13.25,,,,,,,88882.0,6.5,18.39,613.0,16.21,,88882.0,2.29,5.0,39.48,6.16,,,,,,,,,,,,,
sv03.5-064,Kadabra,064,Uncommon,,,151,2026-07-26T08:03:35.610Z,USD,2026-07-26T08:03:04.571Z,EUR,733659.0,0.07,0.02,0.07,0.05,0.06,0.07,0.22,0.02,0.21,0.2,0.21,0.21,516269.0,0.01,0.2,1000.0,0.19,0.01,,,,,,,,,,,,,516269.0,0.07,0.3,19.98,0.31,0.28,,,,,,
ecard3-69,Kadabra,69,Common,,,Skyridge,2026-07-26T08:03:02.311Z,USD,2026-07-26T08:03:04.571Z,EUR,275327.0,18.99,1.0,12.36,3.49,21.54,9.26,33.98,5.0,72.78,34.98,22.94,41.6,86405.0,29.99,57.49,287.7,27.74,,,,,,,,,,,,,,,,,,,,,,,,,
sv06-081,Kadabra,081,Common,,,Twilight Masquerade,2026-07-26T08:03:37.025Z,USD,2026-07-26T08:03:04.571Z,EUR,769255.0,0.05,0.02,0.05,0.02,0.04,0.05,0.14,0.02,0.09,0.05,0.1,0.13,550125.0,0.01,0.2,1000.0,0.2,0.1,,,,,,,,,,,,,550125.0,0.06,0.27,999.0,0.28,0.14,,,,,,
ecard1-84,Kadabra,84,Uncommon,,,Expedition Base Set,2026-07-26T08:03:02.184Z,USD,2026-07-26T08:03:04.532Z,EUR,274959.0,5.43,0.49,5.48,6.0,5.64,4.88,27.67,5.95,24.49,38.0,29.45,21.76,86406.0,5.5,8.94,89.99,9.01,85.62,,,,,,,,,,,,,86406.0,39.99,39.99,39.99,80.0,,,,,,,
A1-116,Kadabra,116,Two Diamond,,,Genetic Apex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sv04.5-149,Kadabra,149,Shiny rare,,,Paldean Fates,2026-07-26T08:03:36.598Z,USD,2026-07-26T08:03:04.571Z,EUR,751688.0,6.09,1.99,6.31,5.48,6.36,5.95,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,534634.0,5.5,8.1,97.16,8.1,13.71
