id,name,localId,rarity,supertype,subtypes,set,tp_updated,tp_unit,cm_updated,cm_unit,cm_idProduct,cm_avg,cm_low,cm_trend,cm_avg1,cm_avg7,cm_avg30,cm_avg_holo,cm_low_holo,cm_trend_holo,cm_avg1_holo,cm_avg7_holo,cm_avg30_holo,tp_holofoil_productId,tp_holofoil_lowPrice,tp_holofoil_midPrice,tp_holofoil_highPrice,tp_holofoil_marketPrice,tp_holofoil_directLowPrice,tp_normal_productId,tp_normal_lowPrice,tp_normal_midPrice,tp_normal_highPrice,tp_normal_marketPrice,tp_normal_directLowPrice,tp_reverse_holofoil_productId,tp_reverse_holofoil_lowPrice,tp_reverse_holofoil_midPrice,tp_reverse_holofoil_highPrice,tp_reverse_holofoil_marketPrice,tp_reverse_holofoil_directLowPrice,tp_1st_edition_productId,tp_1st_edition_lowPrice,tp_1st_edition_midPrice,tp_1st_edition_highPrice,tp_1st_edition_marketPrice,tp_1st_edition_directLowPrice,tp_unlimited_productId,tp_unlimited_lowPrice,tp_unlimited_midPrice,tp_unlimited_highPrice,tp_unlimited_marketPrice,tp_unlimited_directLowPrice
basep-1,Pikachu,1,Common,,,Wizards Black Star Promos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fut2020-1,Pikachu on the Ball,1,None,,,Pokémon Futsal 2020,,,2026-07-31T08:03:05.979Z,EUR,506930.0,125.0,115.0,179.58,179.99,157.1,175.86,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024sv-2,Pikachu,2,None,,,McDonald's Collection 2024,,,2026-07-31T08:03:05.979Z,EUR,802824.0,1.91,0.05,1.82,1.49,1.51,1.91,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
basep-4,Pikachu,4,Common,,,Wizards Black Star Promos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018sm-4,Pikachu,4,None,,,McDonald's Collection 2018,2026-07-31T08:03:02.389Z,USD,2026-07-31T08:03:04.710Z,EUR,366772.0,12.74,1.0,13.61,4.0,13.3,10.02,,,5.68,3.99,6.1,3.7,180452.0,25.49,33.2,309.8,39.21,,,,,,,,,,,,,,,,,,,,,,,,,
2017sm-5,Pikachu,5,None,,,McDonald's Collection 2017,2026-07-31T08:03:02.357Z,USD,2026-07-31T08:03:05.979Z,EUR,301847.0,12.6,1.0,14.58,21.2,13.87,11.41,,,10.21,15.45,9.59,6.48,152685.0,14.22,21.39,300.8,28.19,,,,,,,,,,,,,,,,,,,,,,,,,
2014xy-5,Pikachu,5,None,,,McDonald's Collection 2014,2026-07-31T08:03:02.293Z,USD,2026-07-31T08:03:04.710Z,EUR,281657.0,6.25,3.5,1.76,2.5,6.08,8.38,,,12.9,14.0,9.21,7.04,110410.0,32.99,139.99,700.99,38.54,,,,,,,,,,,,,,,,,,,,,,,,,
cel25-5,Pikachu,5,Holo Rare,,,Celebrations,2026-07-31T08:03:02.465Z,USD,2026-07-31T08:03:05.979Z,EUR,576750.0,5.29,0.5,4.59,4.4,5.05,5.08,,,0.0,,,,250303.0,2.98,7.3,1000.0,5.99,4.45,,,,,,,,,,,,,,,,,,,,,,,,
ex5.5-5,Pikachu,5,None,,,Poké Card Creator Pack,,,2026-07-31T08:03:04.710Z,EUR,605996.0,400.0,40000.0,400.0,400.0,400.0,400.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016xy-6,Pikachu,6,None,,,McDonald's Collection 2016,2026-07-31T08:03:02.328Z,USD,2026-07-31T08:03:05.979Z,EUR,295142.0,24.8,1.4,16.94,10.45,14.37,16.07,,,6.09,3.5,6.0,4.69,275062.0,69.99,86.22,119.98,11.0,,,,,,,,,,,,,,,,,,,,,,,,,
