id,name,localId,rarity,supertype,subtypes,set,tp_updated,tp_unit,cm_updated,cm_unit,cm_idProduct,cm_avg,cm_low,cm_trend,cm_avg1,cm_avg7,cm_avg30,cm_avg_holo,cm_low_holo,cm_trend_holo,cm_avg1_holo,cm_avg7_holo,cm_avg30_holo,tp_holofoil_productId,tp_holofoil_lowPrice,tp_holofoil_midPrice,tp_holofoil_highPrice,tp_holofoil_marketPrice,tp_holofoil_directLowPrice,tp_normal_productId,tp_normal_lowPrice,tp_normal_midPrice,tp_normal_highPrice,tp_normal_marketPrice,tp_normal_directLowPrice,tp_reverse_holofoil_productId,tp_reverse_holofoil_lowPrice,tp_reverse_holofoil_midPrice,tp_reverse_holofoil_highPrice,tp_reverse_holofoil_marketPrice,tp_reverse_holofoil_directLowPrice,tp_1st_edition_productId,tp_1st_edition_lowPrice,tp_1st_edition_midPrice,tp_1st_edition_highPrice,tp_1st_edition_marketPrice,tp_1st_edition_directLowPrice,tp_unlimited_productId,tp_unlimited_lowPrice,tp_unlimited_midPrice,tp_unlimited_highPrice,tp_unlimited_marketPrice,tp_unlimited_directLowPrice
basep-1,Pikachu,1,Common,,,Wizards Black Star Promos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fut2020-1,Pikachu on the Ball,1,None,,,Pokémon Futsal 2020,,,2026-07-17T18:05:09.690Z,EUR,506930.0,143.5,115.0,187.59,125.0,154.24,173.92,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024sv-2,Pikachu,2,None,,,McDonald's Collection 2024,,,2026-07-17T18:05:09.271Z,EUR,802824.0,1.85,0.05,2.47,1.99,1.71,1.94,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
basep-4,Pikachu,4,Common,,,Wizards Black Star Promos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018sm-4,Pikachu,4,None,,,McDonald's Collection 2018,2026-07-17T18:05:07.181Z,USD,2026-07-17T18:05:09.271Z,EUR,366772.0,12.62,1.0,13.8,15.0,14.05,10.37,,,5.68,3.99,6.1,3.7,180452.0,28.0,34.39,309.8,40.81,,,,,,,,,,,,,,,,,,,,,,,,,
2017sm-5,Pikachu,5,None,,,McDonald's Collection 2017,2026-07-17T18:05:07.134Z,USD,2026-07-17T18:05:09.271Z,EUR,301847.0,11.69,1.0,14.73,19.98,12.39,10.27,,,10.21,15.45,9.59,6.48,152685.0,14.22,27.95,300.8,28.11,,,,,,,,,,,,,,,,,,,,,,,,,
2014xy-5,Pikachu,5,None,,,McDonald's Collection 2014,2026-07-17T18:05:07.061Z,USD,2026-07-17T18:05:09.271Z,EUR,281657.0,5.79,3.5,2.81,9.99,6.3,8.41,,,12.9,14.0,9.21,7.04,110410.0,39.99,214.99,700.99,35.63,,,,,,,,,,,,,,,,,,,,,,,,,
cel25-5,Pikachu,5,Holo Rare,,,Celebrations,2026-07-17T18:05:07.245Z,USD,2026-07-17T18:05:09.271Z,EUR,576750.0,5.29,2.5,4.78,4.48,4.89,5.55,,,0.0,,,,250303.0,3.0,7.34,4321.0,5.8,5.94,,,,,,,,,,,,,,,,,,,,,,,,
ex5.5-5,Pikachu,5,None,,,Poké Card Creator Pack,,,2026-07-17T18:05:09.690Z,EUR,605996.0,400.0,40000.0,400.0,400.0,400.0,400.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tk-ex-latio-6,Pikachu,6,None,,,EX trainer Kit (Latios),2026-07-17T18:05:06.497Z,USD,,,,,,,,,,,,,,,,,,,,,,88079.0,3.39,7.35,4321.0,8.31,,,,,,,,,,,,,,,,,,,
2015xy-6,Pikachu,6,None,,,McDonald's Collection 2015,2026-07-17T18:05:07.094Z,USD,2026-07-17T18:05:09.271Z,EUR,293322.0,27.09,1.75,21.29,30.0,21.07,14.68,,,10.31,20.0,9.54,9.62,110424.0,21.5,36.3,9999.0,34.72,,,,,,,,,,,,,,,,,,,,,,,,,
2019sm-6,Pikachu,6,None,,,McDonald's Collection 2019,2026-07-17T18:05:07.204Z,USD,2026-07-17T18:05:09.271Z,EUR,412874.0,8.67,0.5,8.03,1.99,7.44,9.76,,,8.67,5.0,11.67,9.23,200967.0,28.5,68.93,498.13,34.47,449.99,,,,,,,,,,,,,,,,,,,,,,,,
2016xy-6,Pikachu,6,None,,,McDonald's Collection 2016,2026-07-17T18:05:07.115Z,USD,2026-07-17T18:05:09.396Z,EUR,295142.0,14.57,1.4,21.14,6.5,25.22,15.6,,,6.09,3.5,6.0,4.69,275062.0,74.99,95.0,131.97,11.0,,,,,,,,,,,,,,,,,,,,,,,,,
2023sv-6,Pikachu,6,None,,,McDonald's Collection 2023,,,2026-07-17T18:05:09.396Z,EUR,725423.0,1.78,0.15,1.33,0.57,1.65,1.77,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cel25-6,Flying Pikachu V,6,Holo Rare V,,,Celebrations,2026-07-17T18:05:07.245Z,USD,2026-07-17T18:05:09.271Z,EUR,576751.0,3.39,1.0,2.96,3.18,3.34,4.05,,,0.0,,,,250304.0,3.16,5.0,4321.0,4.02,4.97,,,,,,,,,,,,,,,,,,,,,,,,
ru1-7,Pikachu,7,None,,,Pokémon Rumble,,,2026-07-17T18:05:09.271Z,EUR,278848.0,1503.99,275.0,1296.19,1750.0,1174.28,550.86,,500.0,41.46,39.99,37.71,16.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022swsh-7,Pikachu,7,None,,,McDonald's Collection 2022,,,2026-07-17T18:05:09.271Z,EUR,670472.0,1.69,0.1,1.3,1.5,1.94,1.71,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cel25-7,Flying Pikachu VMAX,7,Holo Rare VMAX,,,Celebrations,2026-07-17T18:05:07.245Z,USD,2026-07-17T18:05:09.271Z,EUR,576752.0,6.62,2.0,5.33,5.32,6.17,7.24,,,0.0,,,,250305.0,5.66,9.1,1078.54,7.66,9.25,,,,,,,,,,,,,,,,,,,,,,,,
cel25-8,Surfing Pikachu V,8,Holo Rare V,,,Celebrations,2026-07-17T18:05:07.245Z,USD,2026-07-17T18:05:09.271Z,EUR,576753.0,3.68,1.47,2.3,2.65,3.37,4.7,,,0.0,,,,250306.0,3.44,5.69,125.0,4.93,5.02,,,,,,,,,,,,,,,,,,,,,,,,
pop6-9,Pikachu,9,Common,,,POP Series 6,2026-07-17T18:05:06.628Z,USD,2026-07-17T18:05:09.271Z,EUR,277894.0,39.13,7.5,23.78,18.5,35.93,27.1,,,11.78,9.95,9.56,4.91,88087.0,93.7,126.38,799.04,135.0,599.99,88087.0,139.99,1199.5,1399.9,83.13,,,,,,,,,,,,,,,,,,,
cel25-9,Surfing Pikachu VMAX,9,Holo Rare VMAX,,,Celebrations,2026-07-17T18:05:07.245Z,USD,2026-07-17T18:05:09.271Z,EUR,576754.0,5.82,3.33,5.72,7.45,5.77,6.23,,,0.0,,,,250307.0,5.69,8.74,100.0,7.48,9.32,,,,,,,,,,,,,,,,,,,,,,,,
P-A-009,Pikachu,009,None,,,Promos-A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
det1-10,Detective Pikachu,10,Rare,,,Detective Pikachu,2026-07-17T18:05:07.191Z,USD,2026-07-17T18:05:09.271Z,EUR,370774.0,13.49,0.99,9.76,6.5,9.58,13.27,5.99,5.0,10.13,12.0,9.14,9.77,186015.0,3.99,12.65,98.83,13.54,7.71,,,,,,,,,,,,,,,,,,,,,,,,
pop5-12,Pikachu,12,Common,,,POP Series 5,2026-07-17T18:05:06.608Z,USD,2026-07-17T18:05:09.271Z,EUR,277494.0,90.0,22.0,116.56,45.99,72.87,72.69,,950.0,194.06,315.0,120.43,68.91,88085.0,90.0,220.0,350.0,434.85,,88085.0,49.99,255.66,4321.0,64.63,456.32,,,,,,,,,,,,,,,,,,
np-12,Pikachu,12,Common,,,Nintendo Black Star Promos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pop5-13,Pikachu δ,13,Common,,,POP Series 5,,,2026-07-17T18:05:09.271Z,EUR,277495.0,33.75,17.0,28.93,15.0,33.86,33.4,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pop4-13,Pikachu,13,Common,,,POP Series 4,2026-07-17T18:05:06.593Z,USD,2026-07-17T18:05:09.271Z,EUR,277478.0,45.99,8.0,44.99,125.0,44.99,34.79,,50.0,18.56,20.0,17.0,12.02,88083.0,369.63,1000.0,9999.0,62.16,,88083.0,42.0,49.99,300.0,32.3,,,,,,,,,,,,,,,,,,,
tk-xy-p-14,Pikachu Libre,14,None,,,XY trainer Kit (Pikachu Libre),2026-07-17T18:05:07.102Z,USD,,,,,,,,,,,,,,,,,,,,,,118819.0,10.76,28.75,84.7,21.04,,,,,,,,,,,,,,,,,,,
tk-sm-r-14,Pikachu,14,None,,,SM trainer Kit (Alolan Raichu),2026-07-17T18:05:07.130Z,USD,,,,,,,,,,,,,,,,,,,,,,152868.0,0.45,0.89,19.98,0.88,,,,,,,,,,,,,,,,,,,
pop9-15,Pikachu,15,Common,,,POP Series 9,2026-07-17T18:05:06.883Z,USD,2026-07-17T18:05:09.271Z,EUR,278566.0,16.25,3.5,16.99,10.0,13.61,22.27,10.0,14.99,14.35,10.0,16.43,11.9,,,,,,,88092.0,13.24,19.5,4320.21,19.44,24.3,,,,,,,,,,,,,,,,,,
P-A-015,Pikachu,015,None,,,Promos-A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pop2-16,Pikachu,16,Common,,,POP Series 2,2026-07-17T18:05:06.546Z,USD,2026-07-17T18:05:09.271Z,EUR,277447.0,27.19,7.5,26.11,17.0,19.7,24.94,,,8.61,8.5,7.83,7.83,,,,,,,88081.0,49.99,95.0,360.0,48.37,,,,,,,,,,,,,,,,,,,
mfb-17,Pikachu,17,None,,,My First Battle,,,2026-07-17T18:05:09.271Z,EUR,742000.0,12.24,3.2,12.05,11.99,12.41,7.14,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sv04.5-018,Pikachu,018,Common,,,Paldean Fates,2026-07-17T18:05:07.298Z,USD,2026-07-17T18:05:09.271Z,EUR,751545.0,0.09,0.02,0.05,0.15,0.07,0.09,0.19,0.02,0.2,0.25,0.21,0.19,,,,,,,534163.0,0.01,0.25,20.0,0.21,0.13,534163.0,0.01,0.36,10.0,0.35,0.35,,,,,,,,,,,,
sm115-19,Pikachu,19,Common,,,Hidden Fates,2026-07-17T18:05:07.203Z,USD,2026-07-17T18:05:09.271Z,EUR,394592.0,0.79,0.07,0.7,0.87,1.05,0.81,5.71,3.75,6.33,4.0,5.82,5.38,,,,,,,197663.0,0.37,1.12,19.74,1.09,0.97,197663.0,4.99,9.4,96.72,8.99,7.03,,,,,,,,,,,,
