id,name,localId,rarity,supertype,subtypes,set,cm_updated,cm_unit,cm_idProduct,cm_avg,cm_low,cm_trend,cm_avg1,cm_avg7,cm_avg30,cm_avg_holo,cm_low_holo,cm_trend_holo,cm_avg1_holo,cm_avg7_holo,cm_avg30_holo,tp_updated,tp_unit,tp_holofoil_productId,tp_holofoil_lowPrice,tp_holofoil_midPrice,tp_holofoil_highPrice,tp_holofoil_marketPrice,tp_holofoil_directLowPrice,tp_normal_productId,tp_normal_lowPrice,tp_normal_midPrice,tp_normal_highPrice,tp_normal_marketPrice,tp_normal_directLowPrice,tp_reverse_holofoil_productId,tp_reverse_holofoil_lowPrice,tp_reverse_holofoil_midPrice,tp_reverse_holofoil_highPrice,tp_reverse_holofoil_marketPrice,tp_reverse_holofoil_directLowPrice,tp_1st_edition_productId,tp_1st_edition_lowPrice,tp_1st_edition_midPrice,tp_1st_edition_highPrice,tp_1st_edition_marketPrice,tp_1st_edition_directLowPrice,tp_unlimited_productId,tp_unlimited_lowPrice,tp_unlimited_midPrice,tp_unlimited_highPrice,tp_unlimited_marketPrice,tp_unlimited_directLowPrice
2018sm-2,Psyduck,2,None,,,McDonald's Collection 2018,2026-07-09T18:05:09.065Z,EUR,366770.0,15.32,0.9,17.55,15.0,15.84,12.78,,,1.63,0.49,1.35,1.7,2026-07-09T18:05:06.473Z,USD,180451.0,44.97,207.0,699.4,66.07,,,,,,,,,,,,,,,,,,,,,,,,,
det1-7,Psyduck,7,Common,,,Detective Pikachu,2026-07-09T18:05:09.065Z,EUR,370626.0,0.57,0.02,0.62,0.57,0.72,0.64,0.9,0.05,1.06,0.8,0.9,0.67,2026-07-09T18:05:06.482Z,USD,186010.0,0.2,1.0,7.0,1.22,,,,,,,,,,,,,,,,,,,,,,,,,
mep-007,Psyduck,007,Promo,,,MEP Black Star Promos,2026-07-09T18:05:09.065Z,EUR,851053.0,7.24,0.74,5.98,13.31,6.86,7.13,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sm115-11,Psyduck,11,Common,,,Hidden Fates,2026-07-09T18:05:09.065Z,EUR,394772.0,0.1,0.02,0.12,0.1,0.13,0.1,3.61,0.75,4.62,5.75,4.45,2.73,2026-07-09T18:05:06.496Z,USD,,,,,,,197653.0,0.05,0.35,5.0,0.34,0.19,197653.0,2.98,4.0,19.98,4.02,,,,,,,,,,,,,
xy9-16,Psyduck,16,Common,,,BREAKpoint,2026-07-09T18:05:09.065Z,EUR,288191.0,0.86,0.02,0.79,0.5,0.79,0.83,14.84,0.08,24.55,69.95,20.98,9.6,2026-07-09T18:05:06.417Z,USD,,,,,,,111519.0,0.31,1.37,19.99,1.39,,111519.0,4.0,12.5,199.9,14.16,,,,,,,,,,,,,
basep-20,Psyduck,20,Common,,,Wizards Black Star Promos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
swsh7-24,Psyduck,24,Common,,,Evolving Skies,2026-07-09T18:05:09.065Z,EUR,574048.0,0.08,0.02,0.09,0.13,0.08,0.07,0.34,0.05,0.46,0.2,0.49,0.39,2026-07-09T18:05:06.557Z,USD,,,,,,,246816.0,0.04,0.25,19.92,0.29,,246816.0,0.15,0.5,19.98,0.49,,,,,,,,,,,,,
sm9-26,Psyduck,26,Common,,,Team Up,2026-07-09T18:05:09.065Z,EUR,368958.0,0.3,0.02,0.33,0.08,0.16,0.28,2.93,0.1,2.84,13.0,3.15,5.23,2026-07-09T18:05:06.479Z,USD,,,,,,,183797.0,0.35,1.0,19.98,0.97,,183797.0,12.73,18.0,39.96,17.61,17.99,,,,,,,,,,,,
swsh10-028,Psyduck,028,Common,,,Astral Radiance,2026-07-09T18:05:09.065Z,EUR,658533.0,0.08,0.02,0.08,0.03,0.06,0.08,0.26,0.02,0.32,0.49,0.43,0.31,2026-07-09T18:05:06.573Z,USD,,,,,,,272228.0,0.01,0.25,19.98,0.23,,272228.0,0.14,0.46,19.98,0.52,,,,,,,,,,,,,
sm1-28,Psyduck,28,Common,,,Sun & Moon,2026-07-09T18:05:09.065Z,EUR,295338.0,0.72,0.02,0.62,0.05,0.67,0.68,4.54,0.03,4.65,1.0,5.41,3.67,2026-07-09T18:05:06.439Z,USD,,,,,,,126899.0,0.25,0.95,20.0,1.04,,126899.0,3.49,7.4,500.0,7.15,,,,,,,,,,,,,
