id,name,localId,rarity,supertype,subtypes,set,tp_updated,tp_unit,cm_updated,cm_unit,cm_idProduct,cm_avg,cm_low,cm_trend,cm_avg1,cm_avg7,cm_avg30,cm_avg_holo,cm_low_holo,cm_trend_holo,cm_avg1_holo,cm_avg7_holo,cm_avg30_holo,tp_normal_productId,tp_normal_lowPrice,tp_normal_midPrice,tp_normal_highPrice,tp_normal_marketPrice,tp_normal_directLowPrice,tp_1st_edition_productId,tp_1st_edition_lowPrice,tp_1st_edition_midPrice,tp_1st_edition_highPrice,tp_1st_edition_marketPrice,tp_1st_edition_directLowPrice,tp_unlimited_productId,tp_unlimited_lowPrice,tp_unlimited_midPrice,tp_unlimited_highPrice,tp_unlimited_marketPrice,tp_unlimited_directLowPrice,tp_reverse_holofoil_productId,tp_reverse_holofoil_lowPrice,tp_reverse_holofoil_midPrice,tp_reverse_holofoil_highPrice,tp_reverse_holofoil_marketPrice,tp_reverse_holofoil_directLowPrice,tp_holofoil_productId,tp_holofoil_lowPrice,tp_holofoil_midPrice,tp_holofoil_highPrice,tp_holofoil_marketPrice,tp_holofoil_directLowPrice
A2b-030,Kadabra,030,Two Diamond,,,Shining Revelry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
base1-32,Kadabra,32,Uncommon,,,Base Set,2026-07-16T18:05:04.973Z,USD,2026-07-16T18:05:08.253Z,EUR,273727.0,2.93,0.02,1.52,0.59,1.37,2.79,,,3.32,8.0,2.04,2.04,42374.0,0.45,1.06,9999.0,1.8,1.08,,,,,,,,,,,,,,,,,,,,,,,,
base5-39,Dark Kadabra,39,Uncommon,,,Team Rocket,2026-07-16T18:05:05.020Z,USD,2026-07-16T18:05:08.253Z,EUR,274092.0,2.24,0.05,2.92,0.89,2.91,2.39,,,0.15,0.15,0.77,0.77,,,,,,,84618.0,3.0,6.0,77.0,6.5,,84618.0,0.69,1.5,100.0,2.33,0.75,,,,,,,,,,,,
base4-46,Kadabra,46,Uncommon,,,Base Set 2,2026-07-16T18:05:04.998Z,USD,2026-07-16T18:05:08.727Z,EUR,273969.0,1.26,0.02,0.89,0.95,0.88,1.11,,,0.0,,,,42509.0,0.45,1.14,4321.0,1.83,2.99,,,,,,,,,,,,,,,,,,,,,,,,
lc-49,Kadabra,49,Uncommon,,,Legendary Collection,2026-07-16T18:05:05.098Z,USD,2026-07-16T18:05:08.727Z,EUR,274814.0,3.22,0.2,3.01,1.49,3.27,1.94,130.0,40.0,154.14,150.0,89.88,86.54,86404.0,1.42,2.99,49.81,4.55,48.83,,,,,,,,,,,,,86404.0,2021.78,2021.78,4699.0,173.39,,,,,,,
me01-055,Kadabra,055,Uncommon,,,Mega Evolution,2026-07-16T18:05:05.981Z,USD,2026-07-16T18:05:08.253Z,EUR,851126.0,0.09,0.02,0.08,0.04,0.07,0.07,0.19,0.02,0.17,0.15,0.18,0.2,654394.0,0.01,0.24,1000.0,0.28,0.12,,,,,,,,,,,,,654394.0,0.05,0.33,96.95,0.35,0.33,,,,,,
gym2-58,Sabrina's Kadabra,58,Uncommon,,,Gym Challenge,2026-07-16T18:05:05.051Z,USD,2026-07-16T18:05:08.253Z,EUR,274326.0,11.06,0.49,5.24,5.09,4.94,8.94,,,24.0,24.0,13.25,13.25,,,,,,,88882.0,9.99,18.74,613.0,16.39,,88882.0,2.29,5.56,39.48,6.1,,,,,,,,,,,,,
sv03.5-064,Kadabra,064,Uncommon,,,151,2026-07-16T18:05:05.895Z,USD,2026-07-16T18:05:08.253Z,EUR,733659.0,0.07,0.02,0.08,0.04,0.08,0.07,0.22,0.02,0.24,0.3,0.22,0.21,516269.0,0.02,0.2,1000.0,0.2,0.1,,,,,,,,,,,,,516269.0,0.07,0.31,19.98,0.31,0.22,,,,,,
ecard3-69,Kadabra,69,Common,,,Skyridge,2026-07-16T18:05:05.111Z,USD,2026-07-16T18:05:08.253Z,EUR,275327.0,15.38,1.0,14.96,4.97,19.74,8.88,26.24,5.0,72.78,34.98,22.94,41.6,86405.0,25.51,34.87,287.7,26.86,,,,,,,,,,,,,,,,,,,,,,,,,
sv06-081,Kadabra,081,Common,,,Twilight Masquerade,2026-07-16T18:05:05.938Z,USD,2026-07-16T18:05:08.727Z,EUR,769255.0,0.05,0.02,0.04,0.07,0.06,0.06,0.14,0.02,0.13,0.15,0.15,0.14,550125.0,0.01,0.21,1000.0,0.21,,,,,,,,,,,,,,550125.0,0.01,0.27,5.0,0.29,0.15,,,,,,
ecard1-84,Kadabra,84,Uncommon,,,Expedition Base Set,2026-07-16T18:05:05.100Z,USD,2026-07-16T18:05:08.253Z,EUR,274959.0,4.04,0.49,5.52,3.75,5.82,4.35,31.6,5.95,24.49,20.0,27.82,21.17,86406.0,5.5,8.53,89.99,8.62,7.87,,,,,,,,,,,,,86406.0,39.99,39.99,39.99,80.0,,,,,,,
A1-116,Kadabra,116,Two Diamond,,,Genetic Apex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sv04.5-149,Kadabra,149,Shiny rare,,,Paldean Fates,2026-07-16T18:05:05.901Z,USD,2026-07-16T18:05:08.253Z,EUR,751688.0,5.77,3.49,5.82,5.95,6.38,5.85,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,534634.0,5.34,8.0,97.4,7.68,11.16
