id,name,localId,rarity,supertype,subtypes,set,tp_updated,tp_unit,cm_updated,cm_unit,cm_idProduct,cm_avg,cm_low,cm_trend,cm_avg1,cm_avg7,cm_avg30,cm_avg_holo,cm_low_holo,cm_trend_holo,cm_avg1_holo,cm_avg7_holo,cm_avg30_holo,tp_holofoil_productId,tp_holofoil_lowPrice,tp_holofoil_midPrice,tp_holofoil_highPrice,tp_holofoil_marketPrice,tp_holofoil_directLowPrice,tp_normal_productId,tp_normal_lowPrice,tp_normal_midPrice,tp_normal_highPrice,tp_normal_marketPrice,tp_normal_directLowPrice,tp_reverse_holofoil_productId,tp_reverse_holofoil_lowPrice,tp_reverse_holofoil_midPrice,tp_reverse_holofoil_highPrice,tp_reverse_holofoil_marketPrice,tp_reverse_holofoil_directLowPrice,tp_1st_edition_productId,tp_1st_edition_lowPrice,tp_1st_edition_midPrice,tp_1st_edition_highPrice,tp_1st_edition_marketPrice,tp_1st_edition_directLowPrice,tp_unlimited_productId,tp_unlimited_lowPrice,tp_unlimited_midPrice,tp_unlimited_highPrice,tp_unlimited_marketPrice,tp_unlimited_directLowPrice
basep-1,Pikachu,1,Common,,,Wizards Black Star Promos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fut2020-1,Pikachu on the Ball,1,None,,,Pokémon Futsal 2020,,,2026-08-04T08:03:04.307Z,EUR,506930.0,173.32,115.0,163.59,179.99,157.1,175.86,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024sv-2,Pikachu,2,None,,,McDonald's Collection 2024,,,2026-08-04T08:03:04.307Z,EUR,802824.0,1.91,0.05,1.86,1.8,1.76,1.64,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
basep-4,Pikachu,4,Common,,,Wizards Black Star Promos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018sm-4,Pikachu,4,None,,,McDonald's Collection 2018,2026-08-04T08:03:25.595Z,USD,2026-08-04T08:03:04.307Z,EUR,366772.0,12.74,1.0,13.61,19.44,15.59,10.57,,,5.68,3.99,6.1,3.7,180452.0,24.99,30.0,309.8,39.83,,,,,,,,,,,,,,,,,,,,,,,,,
2017sm-5,Pikachu,5,None,,,McDonald's Collection 2017,2026-08-04T08:03:22.854Z,USD,2026-08-04T08:03:04.307Z,EUR,301847.0,12.6,1.0,14.58,7.5,13.7,11.41,,,10.21,15.45,9.59,6.48,152685.0,14.22,21.79,300.8,28.19,,,,,,,,,,,,,,,,,,,,,,,,,
2014xy-5,Pikachu,5,None,,,McDonald's Collection 2014,2026-08-04T08:03:05.710Z,USD,2026-08-04T08:03:04.307Z,EUR,281657.0,6.25,3.5,1.76,2.5,6.08,8.38,,,12.9,14.0,9.21,7.04,110410.0,32.99,179.99,700.99,38.58,,,,,,,,,,,,,,,,,,,,,,,,,
cel25-5,Pikachu,5,Holo Rare,,,Celebrations,2026-08-04T08:03:29.026Z,USD,2026-08-04T08:03:04.307Z,EUR,576750.0,4.99,2.5,4.53,4.68,4.55,5.0,,,0.0,,,,250303.0,3.0,7.12,1000.0,6.1,4.77,,,,,,,,,,,,,,,,,,,,,,,,
ex5.5-5,Pikachu,5,None,,,Poké Card Creator Pack,,,2026-08-04T08:03:04.342Z,EUR,605996.0,400.0,40000.0,400.0,400.0,400.0,400.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016xy-6,Pikachu,6,None,,,McDonald's Collection 2016,2026-08-04T08:03:21.457Z,USD,2026-08-04T08:03:04.307Z,EUR,295142.0,24.8,1.4,16.94,10.0,10.47,15.79,,,6.09,3.5,6.0,4.69,275062.0,69.99,86.22,119.98,11.0,,,,,,,,,,,,,,,,,,,,,,,,,
2019sm-6,Pikachu,6,None,,,McDonald's Collection 2019,2026-08-04T08:03:26.568Z,USD,2026-08-04T08:03:04.342Z,EUR,412874.0,8.2,0.5,9.67,16.3,10.85,10.58,,,8.67,5.0,11.67,9.23,200967.0,28.5,46.3,497.35,34.1,449.99,,,,,,,,,,,,,,,,,,,,,,,,
2015xy-6,Pikachu,6,None,,,McDonald's Collection 2015,2026-08-04T08:03:16.944Z,USD,2026-08-04T08:03:04.307Z,EUR,293322.0,15.88,1.9,18.34,1.75,21.03,14.64,,,10.31,20.0,9.54,9.62,110424.0,21.5,49.99,9999.0,34.72,,,,,,,,,,,,,,,,,,,,,,,,,
2023sv-6,Pikachu,6,None,,,McDonald's Collection 2023,,,2026-08-04T08:03:04.342Z,EUR,725423.0,1.77,0.15,2.18,2.96,1.92,1.75,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
